[31-Dec-2020 05:07:06 UTC] PHP Notice:  Undefined variable: tel in E:\webdocs\alecaddplugin\wp-content\plugins\zalo-chat-box\inc\pages\front-end.php on line 16
[31-Dec-2020 05:07:51 UTC] PHP Notice:  Undefined index: before widget in E:\webdocs\alecaddplugin\wp-content\plugins\AlecaddPlugin\inc\Api\Widgets\MediaWidget.php on line 53
[31-Dec-2020 05:07:51 UTC] PHP Warning:  Use of undefined constant ‘after_widget’ - assumed '‘after_widget’' (this will throw an Error in a future version of PHP) in E:\webdocs\alecaddplugin\wp-content\plugins\AlecaddPlugin\inc\Api\Widgets\MediaWidget.php on line 62
[31-Dec-2020 05:07:51 UTC] PHP Notice:  Undefined index: ‘after_widget’ in E:\webdocs\alecaddplugin\wp-content\plugins\AlecaddPlugin\inc\Api\Widgets\MediaWidget.php on line 62
[31-Dec-2020 05:07:51 UTC] PHP Notice:  Undefined variable: tel in E:\webdocs\alecaddplugin\wp-content\plugins\zalo-chat-box\inc\pages\front-end.php on line 12
[31-Dec-2020 05:07:51 UTC] PHP Notice:  Undefined variable: tel in E:\webdocs\alecaddplugin\wp-content\plugins\zalo-chat-box\inc\pages\front-end.php on line 16
[31-Dec-2020 05:13:30 UTC] PHP Notice:  Undefined index: before widget in E:\webdocs\alecaddplugin\wp-content\plugins\AlecaddPlugin\inc\Api\Widgets\MediaWidget.php on line 53
[31-Dec-2020 05:13:30 UTC] PHP Warning:  Use of undefined constant ‘after_widget’ - assumed '‘after_widget’' (this will throw an Error in a future version of PHP) in E:\webdocs\alecaddplugin\wp-content\plugins\AlecaddPlugin\inc\Api\Widgets\MediaWidget.php on line 62
[31-Dec-2020 05:13:30 UTC] PHP Notice:  Undefined index: ‘after_widget’ in E:\webdocs\alecaddplugin\wp-content\plugins\AlecaddPlugin\inc\Api\Widgets\MediaWidget.php on line 62
[31-Dec-2020 05:13:30 UTC] PHP Notice:  Undefined variable: tel in E:\webdocs\alecaddplugin\wp-content\plugins\zalo-chat-box\inc\pages\front-end.php on line 12
[31-Dec-2020 05:13:30 UTC] PHP Notice:  Undefined variable: tel in E:\webdocs\alecaddplugin\wp-content\plugins\zalo-chat-box\inc\pages\front-end.php on line 16
[31-Dec-2020 05:14:23 UTC] PHP Notice:  Undefined index: before widget in E:\webdocs\alecaddplugin\wp-content\plugins\AlecaddPlugin\inc\Api\Widgets\MediaWidget.php on line 53
[31-Dec-2020 05:14:23 UTC] PHP Warning:  Use of undefined constant ‘after_widget’ - assumed '‘after_widget’' (this will throw an Error in a future version of PHP) in E:\webdocs\alecaddplugin\wp-content\plugins\AlecaddPlugin\inc\Api\Widgets\MediaWidget.php on line 62
[31-Dec-2020 05:14:23 UTC] PHP Notice:  Undefined index: ‘after_widget’ in E:\webdocs\alecaddplugin\wp-content\plugins\AlecaddPlugin\inc\Api\Widgets\MediaWidget.php on line 62
[31-Dec-2020 05:14:23 UTC] PHP Notice:  Undefined variable: tel in E:\webdocs\alecaddplugin\wp-content\plugins\zalo-chat-box\inc\pages\front-end.php on line 12
[31-Dec-2020 05:14:23 UTC] PHP Notice:  Undefined variable: tel in E:\webdocs\alecaddplugin\wp-content\plugins\zalo-chat-box\inc\pages\front-end.php on line 16
[31-Dec-2020 05:22:14 UTC] PHP Warning:  Use of undefined constant CHILD_THEME_VERSION - assumed 'CHILD_THEME_VERSION' (this will throw an Error in a future version of PHP) in E:\webdocs\alecaddplugin\wp-content\plugins\Qmenu\inc\class-qmenu.php on line 105
[31-Dec-2020 06:55:00 UTC] PHP Notice:  Undefined index: before widget in E:\webdocs\alecaddplugin\wp-content\plugins\AlecaddPlugin\inc\Api\Widgets\MediaWidget.php on line 53
[31-Dec-2020 06:55:00 UTC] PHP Warning:  Use of undefined constant ‘after_widget’ - assumed '‘after_widget’' (this will throw an Error in a future version of PHP) in E:\webdocs\alecaddplugin\wp-content\plugins\AlecaddPlugin\inc\Api\Widgets\MediaWidget.php on line 62
[31-Dec-2020 06:55:00 UTC] PHP Notice:  Undefined index: ‘after_widget’ in E:\webdocs\alecaddplugin\wp-content\plugins\AlecaddPlugin\inc\Api\Widgets\MediaWidget.php on line 62
[31-Dec-2020 06:55:00 UTC] PHP Notice:  Undefined variable: tel in E:\webdocs\alecaddplugin\wp-content\plugins\zalo-chat-box\inc\pages\front-end.php on line 12
[31-Dec-2020 06:55:00 UTC] PHP Notice:  Undefined variable: tel in E:\webdocs\alecaddplugin\wp-content\plugins\zalo-chat-box\inc\pages\front-end.php on line 16
[31-Dec-2020 06:55:02 UTC] PHP Notice:  Undefined index: before widget in E:\webdocs\alecaddplugin\wp-content\plugins\AlecaddPlugin\inc\Api\Widgets\MediaWidget.php on line 53
[31-Dec-2020 06:55:02 UTC] PHP Warning:  Use of undefined constant ‘after_widget’ - assumed '‘after_widget’' (this will throw an Error in a future version of PHP) in E:\webdocs\alecaddplugin\wp-content\plugins\AlecaddPlugin\inc\Api\Widgets\MediaWidget.php on line 62
[31-Dec-2020 06:55:02 UTC] PHP Notice:  Undefined index: ‘after_widget’ in E:\webdocs\alecaddplugin\wp-content\plugins\AlecaddPlugin\inc\Api\Widgets\MediaWidget.php on line 62
[31-Dec-2020 06:55:02 UTC] PHP Notice:  Undefined variable: tel in E:\webdocs\alecaddplugin\wp-content\plugins\zalo-chat-box\inc\pages\front-end.php on line 12
[31-Dec-2020 06:55:02 UTC] PHP Notice:  Undefined variable: tel in E:\webdocs\alecaddplugin\wp-content\plugins\zalo-chat-box\inc\pages\front-end.php on line 16
[31-Dec-2020 07:10:07 UTC] PHP Warning:  Use of undefined constant CHILD_THEME_VERSION - assumed 'CHILD_THEME_VERSION' (this will throw an Error in a future version of PHP) in E:\webdocs\alecaddplugin\wp-content\plugins\Qmenu\inc\class-qmenu.php on line 105
[31-Dec-2020 07:13:35 UTC] PHP Warning:  Use of undefined constant CHILD_THEME_VERSION - assumed 'CHILD_THEME_VERSION' (this will throw an Error in a future version of PHP) in E:\webdocs\alecaddplugin\wp-content\plugins\Qmenu\inc\class-qmenu.php on line 105
[31-Dec-2020 07:14:02 UTC] PHP Warning:  Use of undefined constant CHILD_THEME_VERSION - assumed 'CHILD_THEME_VERSION' (this will throw an Error in a future version of PHP) in E:\webdocs\alecaddplugin\wp-content\plugins\Qmenu\inc\class-qmenu.php on line 105
[31-Dec-2020 07:16:48 UTC] PHP Warning:  Use of undefined constant CHILD_THEME_VERSION - assumed 'CHILD_THEME_VERSION' (this will throw an Error in a future version of PHP) in E:\webdocs\alecaddplugin\wp-content\plugins\Qmenu\inc\class-qmenu.php on line 105
[31-Dec-2020 07:16:55 UTC] PHP Warning:  Use of undefined constant CHILD_THEME_VERSION - assumed 'CHILD_THEME_VERSION' (this will throw an Error in a future version of PHP) in E:\webdocs\alecaddplugin\wp-content\plugins\Qmenu\inc\class-qmenu.php on line 105
[31-Dec-2020 07:17:13 UTC] PHP Warning:  Use of undefined constant CHILD_THEME_VERSION - assumed 'CHILD_THEME_VERSION' (this will throw an Error in a future version of PHP) in E:\webdocs\alecaddplugin\wp-content\plugins\Qmenu\inc\class-qmenu.php on line 105
[31-Dec-2020 07:17:40 UTC] PHP Warning:  Use of undefined constant CHILD_THEME_VERSION - assumed 'CHILD_THEME_VERSION' (this will throw an Error in a future version of PHP) in E:\webdocs\alecaddplugin\wp-content\plugins\Qmenu\inc\class-qmenu.php on line 105
[31-Dec-2020 07:18:22 UTC] PHP Warning:  Use of undefined constant CHILD_THEME_VERSION - assumed 'CHILD_THEME_VERSION' (this will throw an Error in a future version of PHP) in E:\webdocs\alecaddplugin\wp-content\plugins\Qmenu\inc\class-qmenu.php on line 105
[31-Dec-2020 07:18:30 UTC] PHP Warning:  Use of undefined constant CHILD_THEME_VERSION - assumed 'CHILD_THEME_VERSION' (this will throw an Error in a future version of PHP) in E:\webdocs\alecaddplugin\wp-content\plugins\Qmenu\inc\class-qmenu.php on line 105
[31-Dec-2020 07:19:43 UTC] PHP Warning:  Use of undefined constant CHILD_THEME_VERSION - assumed 'CHILD_THEME_VERSION' (this will throw an Error in a future version of PHP) in E:\webdocs\alecaddplugin\wp-content\plugins\Qmenu\inc\class-qmenu.php on line 105
